"Plugin","Gutenberg-Compatible","Compatibility Reason","Active Installs"
"001-prime-strategy-translate-accelerator","unknown","","10000"
"1-click-retweetsharelike","unknown","","3000"
"1-flash-gallery","unknown","","0"
"123contactform-for-wordpress","unknown","","4000"
"2-click-socialmedia-buttons","unknown","","9000"
"2j-slideshow","unknown","","4000"
"301-redirects","unknown","","10000"
"404-notifier","unknown","","4000"
"404-redirected","unknown","","10000"
"404-redirection","unknown","","50000"
"404-simple-redirect","unknown","","7000"
"404-to-301","yes","Doesn't include editor functionality","100000"
"404-to-homepage-littlebizzy","unknown","","20000"
"404-to-start","yes","Existing functionality works in Gutenberg","60000"
"404page","unknown","","50000"
"8-degree-coming-soon-page","likely_yes","Doesn't include editor functionality","8000"
"8-degree-notification-bar","unknown","","3000"
"a2-optimized-wp","likely_yes","Doesn't include editor functionality","30000"
"a3-lazy-load","unknown","","40000"
"aas-digg-digg-alternative","unknown","","8000"
"about-me-3000","unknown","","5000"
"above-the-fold-optimization","unknown","","20000"
"absolute-privacy","unknown","","6000"
"accelerated-mobile-pages","likely_yes","Some editor UI is missing","100000"
"accessible-poetry","unknown","","4000"
"accesspress-anonymous-post","unknown","","10000"
"accesspress-custom-css","unknown","","10000"
"accesspress-facebook-auto-post","unknown","","10000"
"accesspress-instagram-feed","unknown","","20000"
"accesspress-pinterest","unknown","","7000"
"accesspress-social-counter","unknown","","40000"
"accesspress-social-icons","yes","Existing functionality works in Gutenberg","70000"
"accesspress-social-login-lite","likely_yes","Doesn't include editor functionality","20000"
"accesspress-social-share","yes","Existing functionality works in Gutenberg","70000"
"accesspress-twitter-auto-post","unknown","","6000"
"accesspress-twitter-feed","unknown","","40000"
"accordion-shortcode","unknown","","3000"
"accordion-shortcode-and-widget","unknown","","5000"
"accordion-shortcodes","unknown","","20000"
"accordions","unknown","","20000"
"aceide","unknown","","10000"
"acf-accordion","unknown","","4000"
"acf-code-field","unknown","","3000"
"acf-content-analysis-for-yoast-seo","unknown","","50000"
"acf-field-date-time-picker","unknown","","10000"
"acf-google-font-selector-field","unknown","","4000"
"acf-gravityforms-add-on","unknown","","3000"
"acf-image-crop-add-on","unknown","","20000"
"acf-qtranslate","unknown","","30000"
"acf-rus-to-lat","unknown","","5000"
"acf-theme-code","unknown","","4000"
"acf-to-rest-api","unknown","","10000"
"acme-demo-setup","unknown","","10000"
"active-directory-integration","unknown","","0"
"activecampaign-subscription-forms","unknown","","20000"
"acuity-online-appointment-scheduling","unknown","","7000"
"acurax-social-media-widget","unknown","","30000"
